"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Suburbicon","2017",5.7,40881,"Drama","R","George Clooney","Matt Damon",5775178,2890,2840246,"49.2",2890,"2017-08-01","2017-08-01","Not POC","White"
"The Man Who Invented Christmas","2017",7,13716,"Drama","PG","Bharat Nalluri","Dan Stevens",5676486,4,1357129,"23.9",4,"2017-12-01","2017-12-01","Not POC","White"
"Bitter Harvest","2017",6,3546,"Drama","R","George Mendeluk","Max Irons",557241,1812,219357,"39.4",1812,"2017-11-01","2017-11-01","Not POC","White"
"Tiger Zinda Hai","2017",5.9,22234,"Drama","Not Rated","Ali Abbas Zafar","Salman Khan",5560921,3246,1787108,"32.1",3246,"2017-01-01","2017-01-01","Not POC","White"
"The Book of Henry","2017",6.6,24447,"Drama","PG-13","Colin Trevorrow","Naomi Watts",4504974,3119,1424540,"31.6",3119,"2017-03-01","2017-03-01","Not POC","White"
"Stronger","2017",6.9,41294,"Drama","R","David Gordon Green","Jake Gyllenhaal",4211129,3185,1611040,"38.3",3185,"2017-02-01","2017-02-01","Not POC","White"
"The Hero","2017",6.5,8250,"Drama","R","Brett Haley","Sam Elliott",4077333,3185,45317,"1.1",3185,"2017-04-01","2017-04-01","Not POC","White"
"Table 19","2017",5.8,26538,"Drama","PG-13","Jeffrey Blitz","Anna Kendrick",3614896,3070,1597928,"44.2",3070,"2017-01-01","2017-01-01","Not POC","White"
"Phoenix Forgotten","2017",5.3,5653,"Drama","PG-13","Justin Barber","Florence Hartigan",3600146,3259,1816499,"50.5",3259,"2017-10-01","2017-10-01","Not POC","White"
"An Inconvenient Sequel: Truth to Power","2017",6.4,7690,"Drama","PG","Bonni Cohen","Jon Shenk",3496795,3088,124823,"3.6",3088,"2017-12-01","2017-12-01","Not POC","White"
"Disobedience","2017",6.6,25976,"Drama","R","Sebastián Lelio","Rachel Weisz",3498782,2125,237393,"6.8",2125,"2018-04-01","2018-04-01","Not POC","White"
"Til Death Do Us Part","2017",4.6,1191,"Drama","PG-13","Chris Stokes","Taye Diggs",3455267,3146,1527289,"44.2",3146,"2017-03-01","2017-03-01","Not POC","White"
"First Reformed","2017",7.1,49018,"Drama","R","Paul Schrader","Ethan Hawke",3448256,2038,97562,"2.8",2038,"2018-07-01","2018-07-01","Not POC","White"
"Raees","2017",6.8,40610,"Drama","Not Rated","Rahul Dholakia","Raj Arjun",3262954,3146,1798379,"55.1",3146,"2017-06-01","2017-06-01","Not POC","White"
"The Leisure Seeker","2017",6.7,7569,"Adventure","R","Paolo Virzì","Helen Mirren",3226443,1450,0,"0",1450,"2017-12-01","2017-12-01","Not POC","White"
